DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
J612,264751,UT,,,,,,,14:48:42 30-Jun-2024,,,883,,,,,,29,166,12.70,6.90,85
J612,264751,UT,,,,,,,14:48:42 30-Jun-2024,0,14:48:42 30-Jun-2024,162,0,168,959,0,62,,,,,
J612,264751,UT,,,,,,,14:48:42 30-Jun-2024,1,14:51:24 30-Jun-2024,119,168,204,845,0,,,,,,
J612,264751,UT,,,,,,,14:48:42 30-Jun-2024,2,14:53:23 30-Jun-2024,218,204,216,2901,0,,,,,,
J612,264751,UT,,,,,,,14:48:42 30-Jun-2024,3,14:57:01 30-Jun-2024,168,216,164,2467,0,,,,,,
J612,264751,UT,,,,,,,14:48:42 30-Jun-2024,4,14:59:49 30-Jun-2024,131,164,0,2399,1,-27,,,,,
J612,264751,UT,,,,,,,18:29:38 01-Jul-2024,,,1333,,,,,,59,246,12.40,6.40,111
J612,264751,UT,,,,,,,18:29:38 01-Jul-2024,0,18:29:38 01-Jul-2024,258,0,376,1621,1,76,,,,,
J612,264751,UT,,,,,,,18:29:38 01-Jul-2024,1,18:33:56 01-Jul-2024,133,376,608,686,1,,,,,,
J612,264751,UT,,,,,,,18:29:38 01-Jul-2024,2,18:36:09 01-Jul-2024,210,608,608,3492,6,,,,,,
J612,264751,UT,,,,,,,18:29:38 01-Jul-2024,3,18:39:39 01-Jul-2024,153,608,672,2806,7,,,,,,
J612,264751,UT,,,,,,,18:29:38 01-Jul-2024,4,18:42:12 01-Jul-2024,468,672,0,7920,6,-49,,,,,
J612,264751,UT,,,,,,,17:15:25 03-Jul-2024,,,1555,,,,,,51,8,12.00,6.80,80
J612,264751,UT,,,,,,,17:15:25 03-Jul-2024,0,17:15:25 03-Jul-2024,92,0,132,730,0,76,,,,,
J612,264751,UT,,,,,,,17:15:25 03-Jul-2024,1,17:16:57 03-Jul-2024,69,132,184,431,0,,,,,,
J612,264751,UT,,,,,,,17:15:25 03-Jul-2024,2,17:18:06 03-Jul-2024,957,184,498,1493,0,,,,,,
J612,264751,UT,,,,,,,17:15:25 03-Jul-2024,3,17:34:03 03-Jul-2024,196,498,241,4215,0,,,,,,
